"agree","wave","track","gender"
"no","second","general","F"
"no","second","general","F"
"no","second","general","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","developmental","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","clinical","F"
"no","second","social","F"
"no","second","social","F"
"no","second","social","F"
"no","first","social","F"
"no","first","cognitive","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","general","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","developmental","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","clinical","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","social","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","third","cognitive","F"
"no","second","general","M"
"no","second","general","M"
